Number of days: 1289
January 1 2019: 2.59%,
January 2 2019: 1.64%,
January 3 2019: -2.35%,
January 4 2019: 0.66%,
January 5 2019: -0.50%,
January 6 2019: 5.74%,
January 7 2019: -0.31%,
January 8 2019: -0.54%,
January 9 2019: 0.28%,
January 10 2019: -9.59%,
January 11 2019: 0.43%,
January 12 2019: -0.50%,
January 13 2019: -2.99%,
January 14 2019: 4.27%,
January 15 2019: -2.01%,
January 16 2019: 1.09%,
January 17 2019: 0.68%,
January 18 2019: -0.51%,
January 19 2019: 1.96%,
January 20 2019: -3.45%,
January 21 2019: -0.35%,
January 22 2019: 1.25%,
January 23 2019: -0.49%,
January 24 2019: 0.47%,
January 25 2019: -0.11%,
January 26 2019: -0.04%,
January 27 2019: -0.41%,
January 28 2019: -3.26%,
January 29 2019: -0.67%,
January 30 2019: 1.41%,
January 31 2019: -0.68%,
February 1 2019: 0.81%,
February 2 2019: 1.23%,
February 3 2019: -1.31%,
February 4 2019: 0.15%,
February 5 2019: 0.24%,
February 6 2019: -1.91%,
February 7 2019: -0.25%,
February 8 2019: 7.67%,
February 9 2019: 0.13%,
February 10 2019: 0.41%,
February 11 2019: -1.32%,
February 12 2019: 0.01%,
February 13 2019: -0.61%,
February 14 2019: -0.49%,
February 15 2019: 0.33%,
February 16 2019: 0.44%,
February 17 2019: 1.39%,
February 18 2019: 6.30%,
February 19 2019: 0.27%,
February 20 2019: 1.60%,
February 21 2019: -0.82%,
February 22 2019: 0.63%,
February 23 2019: 3.93%,
February 24 2019: -9.09%,
February 25 2019: 2.25%,
February 26 2019: -0.50%,
February 27 2019: 0.23%,
February 28 2019: -0.11%,
March 1 2019: 0.23%,
March 2 2019: -0.06%,
March 3 2019: -0.32%,
March 4 2019: -2.42%,
March 5 2019: 3.81%,
March 6 2019: 0.11%,
March 7 2019: 0.31%,
March 8 2019: -0.23%,
March 9 2019: 2.02%,
March 10 2019: -0.67%,
March 11 2019: -1.13%,
March 12 2019: 0.29%,
March 13 2019: -0.43%,
March 14 2019: 0.29%,
March 15 2019: 1.20%,
March 16 2019: 2.08%,
March 17 2019: -0.62%,
March 18 2019: 0.15%,
March 19 2019: 0.69%,
March 20 2019: 0.64%,
March 21 2019: -1.54%,
March 22 2019: 0.15%,
March 23 2019: 0.45%,
March 24 2019: -0.35%,
March 25 2019: -1.38%,
March 26 2019: 0.33%,
March 27 2019: 2.26%,
March 28 2019: -0.29%,
March 29 2019: 1.86%,
March 30 2019: 0.07%,
March 31 2019: -0.07%,
April 1 2019: 1.03%,
April 2 2019: 17.20%,
April 3 2019: 1.55%,
April 4 2019: -0.69%,
April 5 2019: 2.17%,
April 6 2019: 0.78%,
April 7 2019: 2.54%,
April 8 2019: 1.29%,
April 9 2019: -1.69%,
April 10 2019: 3.07%,
April 11 2019: -5.47%,
April 12 2019: 0.61%,
April 13 2019: -0.04%,
April 14 2019: 1.66%,
April 15 2019: -2.07%,
April 16 2019: 2.96%,
April 17 2019: 0.56%,
April 18 2019: 1.08%,
April 19 2019: 0.00%,
April 20 2019: 0.63%,
April 21 2019: -0.69%,
April 22 2019: 1.90%,
April 23 2019: 2.54%,
April 24 2019: -1.38%,
April 25 2019: -3.60%,
April 26 2019: 1.79%,
April 27 2019: -0.36%,
April 28 2019: 0.22%,
April 29 2019: -1.35%,
April 30 2019: 1.58%,
May 1 2019: 1.15%,
May 2 2019: 2.04%,
May 3 2019: 5.06%,
May 4 2019: 1.02%,
May 5 2019: -0.93%,
May 6 2019: -0.44%,
May 7 2019: 1.68%,
May 8 2019: 2.41%,
May 9 2019: 3.72%,
May 10 2019: 2.63%,
May 11 2019: 11.00%,
May 12 2019: -1.54%,
May 13 2019: 11.80%,
May 14 2019: 1.95%,
May 15 2019: 2.83%,
May 16 2019: -3.70%,
May 17 2019: -6.52%,
May 18 2019: -1.33%,
May 19 2019: 12.28%,
May 20 2019: -2.57%,
May 21 2019: -0.41%,
May 22 2019: -3.49%,
May 23 2019: 2.93%,
May 24 2019: 1.46%,
May 25 2019: 0.76%,
May 26 2019: 7.37%,
May 27 2019: 1.67%,
May 28 2019: -0.42%,
May 29 2019: -0.82%,
May 30 2019: -4.36%,
May 31 2019: 3.48%,
June 1 2019: -0.13%,
June 2 2019: 2.12%,
June 3 2019: -6.99%,
June 4 2019: -5.28%,
June 5 2019: 1.16%,
June 6 2019: 0.11%,
June 7 2019: 2.48%,
June 8 2019: -1.07%,
June 9 2019: -3.38%,
June 10 2019: 4.66%,
June 11 2019: -1.20%,
June 12 2019: 3.08%,
June 13 2019: 1.12%,
June 14 2019: 5.28%,
June 15 2019: 1.82%,
June 16 2019: 1.62%,
June 17 2019: 4.03%,
June 18 2019: -2.48%,
June 19 2019: 1.91%,
June 20 2019: 2.85%,
June 21 2019: 6.74%,
June 22 2019: 5.61%,
June 23 2019: 1.65%,
June 24 2019: 1.38%,
June 25 2019: 6.91%,
June 26 2019: 10.76%,
June 27 2019: -13.50%,
June 28 2019: 9.45%,
June 29 2019: -4.06%,
June 30 2019: -8.81%,
July 1 2019: -2.11%,
July 2 2019: 2.05%,
July 3 2019: 10.10%,
July 4 2019: -6.65%,
July 5 2019: -1.57%,
July 6 2019: 2.50%,
July 7 2019: 1.33%,
July 8 2019: 7.26%,
July 9 2019: 2.49%,
July 10 2019: -3.51%,
July 11 2019: -6.32%,
July 12 2019: 3.65%,
July 13 2019: -3.41%,
July 14 2019: -10.41%,
July 15 2019: 6.53%,
July 16 2019: -12.87%,
July 17 2019: 2.52%,
July 18 2019: 9.91%,
July 19 2019: -1.17%,
July 20 2019: 2.23%,
July 21 2019: -1.40%,
July 22 2019: -2.36%,
July 23 2019: -4.62%,
July 24 2019: -1.03%,
July 25 2019: 1.19%,
July 26 2019: -0.59%,
July 27 2019: -3.54%,
July 28 2019: 0.66%,
July 29 2019: -0.36%,
July 30 2019: 0.69%,
July 31 2019: 5.28%,
August 1 2019: 2.92%,
August 2 2019: 1.43%,
August 3 2019: 2.79%,
August 4 2019: 1.04%,
August 5 2019: 8.22%,
August 6 2019: -2.94%,
August 7 2019: 4.30%,
August 8 2019: 0.21%,
August 9 2019: -0.95%,
August 10 2019: -4.80%,
August 11 2019: 2.13%,
August 12 2019: -1.24%,
August 13 2019: -4.44%,
August 14 2019: -7.74%,
August 15 2019: 2.37%,
August 16 2019: 0.34%,
August 17 2019: -1.11%,
August 18 2019: 0.89%,
August 19 2019: 5.91%,
August 20 2019: -1.41%,
August 21 2019: -5.74%,
August 22 2019: -0.40%,
August 23 2019: 2.87%,
August 24 2019: -2.44%,
August 25 2019: 0.08%,
August 26 2019: 2.26%,
August 27 2019: -1.82%,
August 28 2019: -4.56%,
August 29 2019: -2.29%,
August 30 2019: 0.90%,
August 31 2019: 0.05%,
September 1 2019: 1.42%,
September 2 2019: 6.34%,
September 3 2019: 2.66%,
September 4 2019: -0.42%,
September 5 2019: -0.01%,
September 6 2019: -2.50%,
September 7 2019: 1.53%,
September 8 2019: -0.71%,
September 9 2019: -0.75%,
September 10 2019: -1.98%,
September 11 2019: 0.60%,
September 12 2019: 2.52%,
September 13 2019: -0.70%,
September 14 2019: -0.09%,
September 15 2019: -0.30%,
September 16 2019: -0.50%,
September 17 2019: -0.60%,
September 18 2019: -0.30%,
September 19 2019: 0.87%,
September 20 2019: -0.73%,
September 21 2019: -1.79%,
September 22 2019: 0.44%,
September 23 2019: -3.25%,
September 24 2019: -12.46%,
September 25 2019: -0.79%,
September 26 2019: -4.35%,
September 27 2019: 1.42%,
September 28 2019: 0.26%,
September 29 2019: -1.90%,
September 30 2019: 3.06%,
October 1 2019: 0.03%,
October 2 2019: 0.81%,
October 3 2019: -1.63%,
October 4 2019: -1.06%,
October 5 2019: -0.13%,
October 6 2019: -3.36%,
October 7 2019: 4.26%,
October 8 2019: -0.27%,
October 9 2019: 4.77%,
October 10 2019: -0.05%,
October 11 2019: -3.50%,
October 12 2019: 0.51%,
October 13 2019: -0.32%,
October 14 2019: 0.88%,
October 15 2019: -2.25%,
October 16 2019: -2.05%,
October 17 2019: 0.95%,
October 18 2019: -1.53%,
October 19 2019: 0.01%,
October 20 2019: 3.44%,
October 21 2019: -0.32%,
October 22 2019: -2.16%,
October 23 2019: -6.90%,
October 24 2019: -0.75%,
October 25 2019: 16.76%,
October 26 2019: 6.63%,
October 27 2019: 3.25%,
October 28 2019: -3.39%,
October 29 2019: 2.21%,
October 30 2019: -2.69%,
October 31 2019: -0.14%,
November 1 2019: 0.99%,
November 2 2019: 0.63%,
November 3 2019: -1.02%,
November 4 2019: 2.14%,
November 5 2019: -0.89%,
November 6 2019: 0.34%,
November 7 2019: -1.32%,
November 8 2019: -4.78%,
November 9 2019: 0.41%,
November 10 2019: 2.61%,
November 11 2019: -3.39%,
November 12 2019: 1.01%,
November 13 2019: -0.51%,
November 14 2019: -1.49%,
November 15 2019: -2.02%,
November 16 2019: 0.23%,
November 17 2019: 0.14%,
November 18 2019: -3.71%,
November 19 2019: -0.65%,
November 20 2019: -0.44%,
November 21 2019: -5.81%,
November 22 2019: -4.71%,
November 23 2019: 0.60%,
November 24 2019: -5.58%,
November 25 2019: 3.03%,
November 26 2019: 0.65%,
November 27 2019: 4.94%,
November 28 2019: -1.18%,
November 29 2019: 4.33%,
November 30 2019: -2.57%,
December 1 2019: -1.99%,
December 2 2019: -1.32%,
December 3 2019: -0.02%,
December 4 2019: -1.35%,
December 5 2019: 2.70%,
December 6 2019: 1.87%,
December 7 2019: -0.53%,
December 8 2019: 0.30%,
December 9 2019: -2.28%,
December 10 2019: -1.56%,
December 11 2019: -0.20%,
December 12 2019: -0.17%,
December 13 2019: 0.84%,
December 14 2019: -2.66%,
December 15 2019: 0.77%,
December 16 2019: -3.20%,
December 17 2019: -3.88%,
December 18 2019: 9.87%,
December 19 2019: -1.75%,
December 20 2019: 0.51%,
December 21 2019: -0.77%,
December 22 2019: 5.19%,
December 23 2019: -2.45%,
December 24 2019: -0.84%,
December 25 2019: -0.70%,
December 26 2019: -0.04%,
December 27 2019: 0.73%,
December 28 2019: 0.85%,
December 29 2019: 1.00%,
December 30 2019: -1.93%,
December 31 2019: -0.70%,
January 1 2020: 0.08%,
January 2 2020: -3.26%,
January 3 2020: 5.45%,
January 4 2020: 0.12%,
January 5 2020: 0.06%,
January 6 2020: 5.44%,
January 7 2020: 4.98%,
January 8 2020: -1.10%,
January 9 2020: -2.94%,
January 10 2020: 4.85%,
January 11 2020: -2.18%,
January 12 2020: 2.06%,
January 13 2020: -0.91%,
January 14 2020: 8.63%,
January 15 2020: 0.08%,
January 16 2020: -1.13%,
January 17 2020: 2.21%,
January 18 2020: 0.03%,
January 19 2020: -2.39%,
January 20 2020: -0.68%,
January 21 2020: 1.08%,
January 22 2020: -0.61%,
January 23 2020: -3.20%,
January 24 2020: 0.41%,
January 25 2020: -1.17%,
January 26 2020: 3.30%,
January 27 2020: 3.40%,
January 28 2020: 5.24%,
January 29 2020: -0.79%,
January 30 2020: 2.28%,
January 31 2020: -1.67%,
February 1 2020: 0.35%,
February 2 2020: -0.56%,
February 3 2020: -0.42%,
February 4 2020: -1.02%,
February 5 2020: 4.51%,
February 6 2020: 1.66%,
February 7 2020: 0.43%,
February 8 2020: 0.83%,
February 9 2020: 2.59%,
February 10 2020: -2.95%,
February 11 2020: 3.77%,
February 12 2020: 1.01%,
February 13 2020: -0.93%,
February 14 2020: 1.14%,
February 15 2020: -4.25%,
February 16 2020: 0.13%,
February 17 2020: -2.07%,
February 18 2020: 4.73%,
February 19 2020: -5.62%,
February 20 2020: 0.02%,
February 21 2020: 0.83%,
February 22 2020: -0.27%,
February 23 2020: 2.96%,
February 24 2020: -2.82%,
February 25 2020: -3.52%,
February 26 2020: -5.70%,
February 27 2020: 0.42%,
February 28 2020: -1.48%,
February 29 2020: -1.92%,
March 1 2020: 0.10%,
March 2 2020: 4.51%,
March 3 2020: -1.70%,
March 4 2020: -0.11%,
March 5 2020: 3.47%,
March 6 2020: 0.85%,
March 7 2020: -2.67%,
March 8 2020: -9.59%,
March 9 2020: -1.31%,
March 10 2020: -0.45%,
March 11 2020: 0.51%,
March 12 2020: -39.51%,
March 13 2020: 16.22%,
March 14 2020: -7.25%,
March 15 2020: 3.65%,
March 16 2020: -6.18%,
March 17 2020: 5.64%,
March 18 2020: 1.51%,
March 19 2020: 14.26%,
March 20 2020: 0.75%,
March 21 2020: -0.28%,
March 22 2020: -5.99%,
March 23 2020: 11.20%,
March 24 2020: 4.32%,
March 25 2020: -1.00%,
March 26 2020: 0.90%,
March 27 2020: -5.61%,
March 28 2020: -1.93%,
March 29 2020: -5.70%,
March 30 2020: 8.74%,
March 31 2020: 0.25%,
